participant,match_label,pred_home,pred_away
marcel,Paris Saint-Germain x AS Monaco,1,1
marcel,Galatasaray x Juventus,2,1
marcel,Real Madrid x Benfica,0,1
marcel,Atalanta x Borussia Dortmund,1,3
marcel,Newcastle United x Qarabag,3,1
marcel,Atlético Madrid x Club Brugge,1,1
marcel,Bodø/Glimt x Inter Milan,0,2
marcel,Bayer Leverkusen x Olympiacos,2,1
dan,Paris Saint-Germain x AS Monaco,3,0
dan,Galatasaray x Juventus,2,1
dan,Real Madrid x Benfica,2,2
dan,Atalanta x Borussia Dortmund,0,2
dan,Newcastle United x Qarabag,2,1
dan,Atlético Madrid x Club Brugge,3,0
dan,Bodø/Glimt x Inter Milan,1,2
dan,Bayer Leverkusen x Olympiacos,1,1
felippe-leite,Paris Saint-Germain x AS Monaco,3,1
felippe-leite,Galatasaray x Juventus,1,1
felippe-leite,Real Madrid x Benfica,2,2
felippe-leite,Atalanta x Borussia Dortmund,0,2
felippe-leite,Newcastle United x Qarabag,3,0
felippe-leite,Atlético Madrid x Club Brugge,1,1
felippe-leite,Bodø/Glimt x Inter Milan,0,5
felippe-leite,Bayer Leverkusen x Olympiacos,1,2
leo-raposo,Paris Saint-Germain x AS Monaco,2,2
leo-raposo,Galatasaray x Juventus,0,1
leo-raposo,Real Madrid x Benfica,2,1
leo-raposo,Atalanta x Borussia Dortmund,1,1
leo-raposo,Newcastle United x Qarabag,3,0
leo-raposo,Atlético Madrid x Club Brugge,0,0
leo-raposo,Bodø/Glimt x Inter Milan,1,4
leo-raposo,Bayer Leverkusen x Olympiacos,2,1
gui-giron,Paris Saint-Germain x AS Monaco,2,0
gui-giron,Galatasaray x Juventus,0,1
gui-giron,Real Madrid x Benfica,0,1
gui-giron,Atalanta x Borussia Dortmund,1,2
gui-giron,Newcastle United x Qarabag,1,0
gui-giron,Atlético Madrid x Club Brugge,1,0
gui-giron,Bodø/Glimt x Inter Milan,0,2
gui-giron,Bayer Leverkusen x Olympiacos,1,1
scarpa,Paris Saint-Germain x AS Monaco,2,2
scarpa,Galatasaray x Juventus,0,0
scarpa,Real Madrid x Benfica,2,1
scarpa,Atalanta x Borussia Dortmund,1,1
scarpa,Newcastle United x Qarabag,2,0
scarpa,Atlético Madrid x Club Brugge,0,0
scarpa,Bodø/Glimt x Inter Milan,0,2
scarpa,Bayer Leverkusen x Olympiacos,0,1
rafinha,Paris Saint-Germain x AS Monaco,2,1
rafinha,Galatasaray x Juventus,1,0
rafinha,Real Madrid x Benfica,2,2
rafinha,Atalanta x Borussia Dortmund,1,3
rafinha,Newcastle United x Qarabag,2,0
rafinha,Atlético Madrid x Club Brugge,1,1
rafinha,Bodø/Glimt x Inter Milan,0,1
rafinha,Bayer Leverkusen x Olympiacos,0,2
biel,Paris Saint-Germain x AS Monaco,2,1
biel,Galatasaray x Juventus,1,1
biel,Real Madrid x Benfica,1,1
biel,Atalanta x Borussia Dortmund,2,2
biel,Newcastle United x Qarabag,0,1
biel,Atlético Madrid x Club Brugge,0,1
biel,Bodø/Glimt x Inter Milan,0,2
biel,Bayer Leverkusen x Olympiacos,3,1
serginho,Paris Saint-Germain x AS Monaco,2,1
serginho,Galatasaray x Juventus,2,0
serginho,Real Madrid x Benfica,1,0
serginho,Atalanta x Borussia Dortmund,0,2
serginho,Newcastle United x Qarabag,1,1
serginho,Atlético Madrid x Club Brugge,1,1
serginho,Bodø/Glimt x Inter Milan,1,1
serginho,Bayer Leverkusen x Olympiacos,0,1
muca,Paris Saint-Germain x AS Monaco,2,0
muca,Galatasaray x Juventus,1,0
muca,Real Madrid x Benfica,0,1
muca,Atalanta x Borussia Dortmund,0,1
muca,Newcastle United x Qarabag,2,1
muca,Atlético Madrid x Club Brugge,1,1
muca,Bodø/Glimt x Inter Milan,0,1
muca,Bayer Leverkusen x Olympiacos,1,1
leo-picca,Paris Saint-Germain x AS Monaco,2,1
leo-picca,Galatasaray x Juventus,2,1
leo-picca,Real Madrid x Benfica,1,1
leo-picca,Atalanta x Borussia Dortmund,2,1
leo-picca,Newcastle United x Qarabag,1,1
leo-picca,Atlético Madrid x Club Brugge,1,1
leo-picca,Bodø/Glimt x Inter Milan,1,1
leo-picca,Bayer Leverkusen x Olympiacos,0,1
victor,Paris Saint-Germain x AS Monaco,3,1
victor,Galatasaray x Juventus,2,1
victor,Real Madrid x Benfica,3,1
victor,Atalanta x Borussia Dortmund,1,2
victor,Newcastle United x Qarabag,2,1
victor,Atlético Madrid x Club Brugge,1,1
victor,Bodø/Glimt x Inter Milan,0,2
victor,Bayer Leverkusen x Olympiacos,1,1
enrico,Paris Saint-Germain x AS Monaco,2,0
enrico,Galatasaray x Juventus,1,1
enrico,Real Madrid x Benfica,1,1
enrico,Atalanta x Borussia Dortmund,1,2
enrico,Newcastle United x Qarabag,0,0
enrico,Atlético Madrid x Club Brugge,1,1
enrico,Bodø/Glimt x Inter Milan,1,2
enrico,Bayer Leverkusen x Olympiacos,2,2
nanel,Paris Saint-Germain x AS Monaco,2,1
nanel,Galatasaray x Juventus,1,1
nanel,Real Madrid x Benfica,2,2
nanel,Atalanta x Borussia Dortmund,1,2
nanel,Newcastle United x Qarabag,2,1
nanel,Atlético Madrid x Club Brugge,1,2
nanel,Bodø/Glimt x Inter Milan,1,2
nanel,Bayer Leverkusen x Olympiacos,1,1
faber,Paris Saint-Germain x AS Monaco,2,1
faber,Galatasaray x Juventus,1,1
faber,Real Madrid x Benfica,2,0
faber,Atalanta x Borussia Dortmund,1,2
faber,Newcastle United x Qarabag,3,1
faber,Atlético Madrid x Club Brugge,1,1
faber,Bodø/Glimt x Inter Milan,1,1
faber,Bayer Leverkusen x Olympiacos,1,2
celsinho,Paris Saint-Germain x AS Monaco,3,2
